Game #,Round,Away ID,Away Num,Away Abbr,Away Team,Home ID,Home Num,Home Abbr,Home Team,Matchup
1,1,832,65,BAR,"Barrie Dolts",859,63,WDY,"Woodlynne Rats","BAR @ WDY"
2,1,858,15,VHV,"Valhalla Vikings",833,49,BAY,"Baytown Thunder","VHV @ BAY"
3,1,834,58,BFC,"Betty Ford Clinic",857,29,TBP,"Thunder Bay Pike","BFC @ TBP"
4,1,856,24,TEG,"Tegucigalpa Ticklepuss",835,67,DHG,"Devil Hill Goblins","TEG @ DHG"
5,1,836,18,ETI,"Easter Island Stoneheads",855,28,TAI,"Taipei Typhoons","ETI @ TAI"
6,1,854,21,SUM,"Sumter Trash",837,25,GRH,"Grand River Herons","SUM @ GRH"
7,1,838,37,HAM,"Hamilton Mustangs",853,20,SVF,"Sugar Valley Firebirds","HAM @ SVF"
8,1,852,60,SHS,"South Hills Shindigaz",839,9,HIG,"Highland Wolf","SHS @ HIG"
9,1,840,50,ING,"Inglewood Monstars",851,66,ROC,"Rockford Villains","ING @ ROC"
10,1,850,19,RIC,"Richfield Oracles",841,14,ITA,"Italy EBC","RIC @ ITA"
11,1,842,39,MHA,"Maryhill Alumni",849,30,PRO,"Providence Sea Bass","MHA @ PRO"
12,1,848,17,PIT,"Pitt Intramurals",843,54,KAR,"Karolina Kaos","PIT @ KAR"
13,1,844,13,MHT,"Minhattrick Swayzes",847,51,OCW,"Orange County Weststars","MHT @ OCW"
14,1,846,26,NBK,"North Bay Knights",845,12,MGG,"Minnesota Golden Gophers","NBK @ MGG"
15,2,831,2,AUT,"Autobahn",859,63,WDY,"Woodlynne Rats","AUT @ WDY"
16,2,832,65,BAR,"Barrie Dolts",858,15,VHV,"Valhalla Vikings","BAR @ VHV"
17,2,857,29,TBP,"Thunder Bay Pike",833,49,BAY,"Baytown Thunder","TBP @ BAY"
18,2,834,58,BFC,"Betty Ford Clinic",856,24,TEG,"Tegucigalpa Ticklepuss","BFC @ TEG"
19,2,855,28,TAI,"Taipei Typhoons",835,67,DHG,"Devil Hill Goblins","TAI @ DHG"
20,2,836,18,ETI,"Easter Island Stoneheads",854,21,SUM,"Sumter Trash","ETI @ SUM"
21,2,853,20,SVF,"Sugar Valley Firebirds",837,25,GRH,"Grand River Herons","SVF @ GRH"
22,2,838,37,HAM,"Hamilton Mustangs",852,60,SHS,"South Hills Shindigaz","HAM @ SHS"
23,2,851,66,ROC,"Rockford Villains",839,9,HIG,"Highland Wolf","ROC @ HIG"
24,2,840,50,ING,"Inglewood Monstars",850,19,RIC,"Richfield Oracles","ING @ RIC"
25,2,849,30,PRO,"Providence Sea Bass",841,14,ITA,"Italy EBC","PRO @ ITA"
26,2,842,39,MHA,"Maryhill Alumni",848,17,PIT,"Pitt Intramurals","MHA @ PIT"
27,2,847,51,OCW,"Orange County Weststars",843,54,KAR,"Karolina Kaos","OCW @ KAR"
28,2,844,13,MHT,"Minhattrick Swayzes",846,26,NBK,"North Bay Knights","MHT @ NBK"
29,3,858,15,VHV,"Valhalla Vikings",831,2,AUT,"Autobahn","VHV @ AUT"
30,3,857,29,TBP,"Thunder Bay Pike",859,63,WDY,"Woodlynne Rats","TBP @ WDY"
31,3,833,49,BAY,"Baytown Thunder",856,24,TEG,"Tegucigalpa Ticklepuss","BAY @ TEG"
32,3,855,28,TAI,"Taipei Typhoons",834,58,BFC,"Betty Ford Clinic","TAI @ BFC"
33,3,835,67,DHG,"Devil Hill Goblins",854,21,SUM,"Sumter Trash","DHG @ SUM"
34,3,853,20,SVF,"Sugar Valley Firebirds",836,18,ETI,"Easter Island Stoneheads","SVF @ ETI"
35,3,837,25,GRH,"Grand River Herons",852,60,SHS,"South Hills Shindigaz","GRH @ SHS"
36,3,851,66,ROC,"Rockford Villains",838,37,HAM,"Hamilton Mustangs","ROC @ HAM"
37,3,839,9,HIG,"Highland Wolf",850,19,RIC,"Richfield Oracles","HIG @ RIC"
38,3,849,30,PRO,"Providence Sea Bass",840,50,ING,"Inglewood Monstars","PRO @ ING"
39,3,841,14,ITA,"Italy EBC",848,17,PIT,"Pitt Intramurals","ITA @ PIT"
40,3,847,51,OCW,"Orange County Weststars",842,39,MHA,"Maryhill Alumni","OCW @ MHA"
41,3,843,54,KAR,"Karolina Kaos",846,26,NBK,"North Bay Knights","KAR @ NBK"
42,3,845,12,MGG,"Minnesota Golden Gophers",844,13,MHT,"Minhattrick Swayzes","MGG @ MHT"
43,4,831,2,AUT,"Autobahn",857,29,TBP,"Thunder Bay Pike","AUT @ TBP"
44,4,832,65,BAR,"Barrie Dolts",856,24,TEG,"Tegucigalpa Ticklepuss","BAR @ TEG"
45,4,855,28,TAI,"Taipei Typhoons",858,15,VHV,"Valhalla Vikings","TAI @ VHV"
46,4,834,58,BFC,"Betty Ford Clinic",854,21,SUM,"Sumter Trash","BFC @ SUM"
47,4,853,20,SVF,"Sugar Valley Firebirds",835,67,DHG,"Devil Hill Goblins","SVF @ DHG"
48,4,836,18,ETI,"Easter Island Stoneheads",852,60,SHS,"South Hills Shindigaz","ETI @ SHS"
49,4,851,66,ROC,"Rockford Villains",837,25,GRH,"Grand River Herons","ROC @ GRH"
50,4,838,37,HAM,"Hamilton Mustangs",850,19,RIC,"Richfield Oracles","HAM @ RIC"
51,4,849,30,PRO,"Providence Sea Bass",839,9,HIG,"Highland Wolf","PRO @ HIG"
52,4,840,50,ING,"Inglewood Monstars",848,17,PIT,"Pitt Intramurals","ING @ PIT"
53,4,847,51,OCW,"Orange County Weststars",841,14,ITA,"Italy EBC","OCW @ ITA"
54,4,842,39,MHA,"Maryhill Alumni",846,26,NBK,"North Bay Knights","MHA @ NBK"
55,4,845,12,MGG,"Minnesota Golden Gophers",843,54,KAR,"Karolina Kaos","MGG @ KAR"
56,4,859,63,WDY,"Woodlynne Rats",844,13,MHT,"Minhattrick Swayzes","WDY @ MHT"
57,5,856,24,TEG,"Tegucigalpa Ticklepuss",831,2,AUT,"Autobahn","TEG @ AUT"
58,5,855,28,TAI,"Taipei Typhoons",857,29,TBP,"Thunder Bay Pike","TAI @ TBP"
59,5,833,49,BAY,"Baytown Thunder",854,21,SUM,"Sumter Trash","BAY @ SUM"
60,5,853,20,SVF,"Sugar Valley Firebirds",858,15,VHV,"Valhalla Vikings","SVF @ VHV"
61,5,835,67,DHG,"Devil Hill Goblins",852,60,SHS,"South Hills Shindigaz","DHG @ SHS"
62,5,851,66,ROC,"Rockford Villains",836,18,ETI,"Easter Island Stoneheads","ROC @ ETI"
63,5,837,25,GRH,"Grand River Herons",850,19,RIC,"Richfield Oracles","GRH @ RIC"
64,5,849,30,PRO,"Providence Sea Bass",838,37,HAM,"Hamilton Mustangs","PRO @ HAM"
65,5,839,9,HIG,"Highland Wolf",848,17,PIT,"Pitt Intramurals","HIG @ PIT"
66,5,847,51,OCW,"Orange County Weststars",840,50,ING,"Inglewood Monstars","OCW @ ING"
67,5,841,14,ITA,"Italy EBC",846,26,NBK,"North Bay Knights","ITA @ NBK"
68,5,845,12,MGG,"Minnesota Golden Gophers",842,39,MHA,"Maryhill Alumni","MGG @ MHA"
69,5,843,54,KAR,"Karolina Kaos",859,63,WDY,"Woodlynne Rats","KAR @ WDY"
70,5,844,13,MHT,"Minhattrick Swayzes",832,65,BAR,"Barrie Dolts","MHT @ BAR"
71,6,831,2,AUT,"Autobahn",855,28,TAI,"Taipei Typhoons","AUT @ TAI"
72,6,832,65,BAR,"Barrie Dolts",854,21,SUM,"Sumter Trash","BAR @ SUM"
73,6,853,20,SVF,"Sugar Valley Firebirds",856,24,TEG,"Tegucigalpa Ticklepuss","SVF @ TEG"
74,6,834,58,BFC,"Betty Ford Clinic",852,60,SHS,"South Hills Shindigaz","BFC @ SHS"
75,6,851,66,ROC,"Rockford Villains",857,29,TBP,"Thunder Bay Pike","ROC @ TBP"
76,6,836,18,ETI,"Easter Island Stoneheads",850,19,RIC,"Richfield Oracles","ETI @ RIC"
77,6,849,30,PRO,"Providence Sea Bass",858,15,VHV,"Valhalla Vikings","PRO @ VHV"
78,6,838,37,HAM,"Hamilton Mustangs",848,17,PIT,"Pitt Intramurals","HAM @ PIT"
79,6,847,51,OCW,"Orange County Weststars",839,9,HIG,"Highland Wolf","OCW @ HIG"
80,6,840,50,ING,"Inglewood Monstars",846,26,NBK,"North Bay Knights","ING @ NBK"
81,6,845,12,MGG,"Minnesota Golden Gophers",841,14,ITA,"Italy EBC","MGG @ ITA"
82,6,842,39,MHA,"Maryhill Alumni",859,63,WDY,"Woodlynne Rats","MHA @ WDY"
83,6,843,54,KAR,"Karolina Kaos",844,13,MHT,"Minhattrick Swayzes","KAR @ MHT"
84,6,833,49,BAY,"Baytown Thunder",835,67,DHG,"Devil Hill Goblins","BAY @ DHG"
85,7,854,21,SUM,"Sumter Trash",831,2,AUT,"Autobahn","SUM @ AUT"
86,7,853,20,SVF,"Sugar Valley Firebirds",855,28,TAI,"Taipei Typhoons","SVF @ TAI"
87,7,833,49,BAY,"Baytown Thunder",852,60,SHS,"South Hills Shindigaz","BAY @ SHS"
88,7,851,66,ROC,"Rockford Villains",856,24,TEG,"Tegucigalpa Ticklepuss","ROC @ TEG"
89,7,835,67,DHG,"Devil Hill Goblins",850,19,RIC,"Richfield Oracles","DHG @ RIC"
90,7,849,30,PRO,"Providence Sea Bass",857,29,TBP,"Thunder Bay Pike","PRO @ TBP"
91,7,837,25,GRH,"Grand River Herons",848,17,PIT,"Pitt Intramurals","GRH @ PIT"
92,7,847,51,OCW,"Orange County Weststars",858,15,VHV,"Valhalla Vikings","OCW @ VHV"
93,7,839,9,HIG,"Highland Wolf",846,26,NBK,"North Bay Knights","HIG @ NBK"
94,7,845,12,MGG,"Minnesota Golden Gophers",840,50,ING,"Inglewood Monstars","MGG @ ING"
95,7,841,14,ITA,"Italy EBC",859,63,WDY,"Woodlynne Rats","ITA @ WDY"
96,7,842,39,MHA,"Maryhill Alumni",844,13,MHT,"Minhattrick Swayzes","MHA @ MHT"
